# TBLASTN 2.2.25+
# Query: ABU92522.1 phosphopantothenoylcysteine-synthetase, partial [Eleutheria dichotoma]
# Database: /var/www/blast++/db/nucleotide/P.yesseoensis_genome.fa
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 4 hits found
ABU92522.1	scaffold6287	67.50	40	13	0	31	70	262212	262093	2e-07	56.6
ABU92522.1	scaffold6287	49.02	51	26	0	91	141	261015	260863	1e-05	50.4
ABU92522.1	scaffold6287	50.00	28	14	0	2	29	262614	262531	1.0	34.3
ABU92522.1	scaffold11115	43.59	39	21	1	34	71	197105	197221	2.6	32.7
# TBLASTN 2.2.25+
# Query: ABU92523.1 POU class 6 [Eleutheria dichotoma]
# Database: /var/www/blast++/db/nucleotide/P.yesseoensis_genome.fa
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 11 hits found
ABU92523.1	scaffold827	34.25	146	90	1	414	553	331793	331356	3e-18	96.3
ABU92523.1	scaffold716089	33.12	160	89	4	413	555	34225	33749	3e-14	82.8
ABU92523.1	scaffold10613	30.50	141	81	2	428	553	218325	217909	2e-13	80.1
ABU92523.1	scaffold6287	67.50	40	13	0	193	232	262212	262093	6e-07	58.5
ABU92523.1	scaffold6287	72.22	36	10	0	38	73	264598	264491	3e-06	56.2
ABU92523.1	scaffold6287	58.97	39	16	0	71	109	263836	263720	1e-05	54.3
ABU92523.1	scaffold6287	52.08	48	23	0	144	191	262674	262531	2e-05	53.5
ABU92523.1	scaffold6287	49.02	51	26	0	253	303	261015	260863	2e-04	50.1
ABU92523.1	scaffold617	57.14	42	18	0	413	454	101056	101181	1e-05	53.9
ABU92523.1	scaffold617	40.00	40	18	1	515	548	103025	103144	0.40	39.3
ABU92523.1	scaffold617	26.92	78	48	1	450	518	102389	102622	2.2	36.6
# TBLASTN 2.2.25+
# Query: POU6 Cterm
# Database: /var/www/blast++/db/nucleotide/P.yesseoensis_genome.fa
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 5 hits found
